python-cryptography 44.0.0-1
python-dateutil 2.9.0-6
python-dbus 1.3.2-5
python-defusedxml 0.7.1-7
python-discid 1.2.0-10
python-distlib 0.3.9-2
python-distutils-extra 2.39-14
python-dnspython 1:2.7.0-1
python-evdev 1.7.1-2
python-fasteners 0.19-4
python-fastjsonschema 2.21.1-1
python-filelock 3.17.0-1
python-gobject 3.50.0-2
python-html5lib 1.1-15
python-httplib2 0.22.0-8
python-idna 3.10-2
python-inflect 7.5.0-1
python-iniconfig 2.0.0-6
python-installer 0.7.0-10
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-lxml 5.3.0-2
python-mako 1.3.8-1
python-markdown 3.7-2
python-markdown-it-py 3.0.0-4
python-markupsafe 2.1.5-3
python-mdurl 0.1.2-8
python-more-itertools 10.5.0-1
python-multidict 6.0.5-4
python-mutagen 1.47.0-3
python-netifaces 0.11.0-7
python-numpy 2.2.2-1
python-ordered-set 4.1.0-7
python-packaging 24.2-3
python-pillow 11.1.0-1
python-pip 25.0-1
python-platformdirs 4.3.6-2
python-pluggy 1.5.0-3
python-ply 3.11-14
python-pycparser 2.22-3
python-pycups 2.0.4-3
python-pycurl 7.45.3-2
python-pydantic 2.10.6-1
python-pydantic-core 2:2.27.2-1
python-pydbus 0.6.0-12
python-pygments 2.19.1-1
python-pyjwt 2.10.1-1
python-pyopenssl 24.3.0-1
python-pyparsing 3.1.2-3
python-pyproject-hooks 1.2.0-3
python-pyqt5 5.15.11-2
python-pyqt5-sip 12.17.0-1
python-pysocks 1.7.1-10
python-pytest 1:8.3.4-1
python-pyxdg 0.28-4
python-pyzmq 26.2.0-1
python-requests 2.32.3-4
python-requests-toolbelt 1.0.0-3
python-rich 13.9.4-3
python-setuptools 1:75.2.0-4
python-six 1.17.0-1
python-toml 0.10.2-12
python-tomli 2.0.1-5
python-trove-classifiers 2025.1.7.14-1
python-typeguard 4.4.1-1
python-typing_extensions 4.12.2-3
python-uc-micro-py 1.0.3-3
python-urllib3 2.3.0-1
python-validate-pyproject 0.23-1
python-virtualenv 20.28.0-1
python-webencodings 0.5.1-12
python-wheel 0.45.0-3
python-yaml 6.0.2-2
python2 2.7.18-11
python2-debug 2.7.18-11
pywal-git 3.3.0.r134.g236aa48-3
qcma 0.4.1-3
qpdf 11.9.1-1
qpwgraph 0.8.1-1
qrencode 4.1.1-3
qt5-base 5.15.16+kde+r130-3
qt5-declarative 5.15.16+kde+r22-3
qt5-location 5.15.16+kde+r7-3
qt5-remoteobjects 5.15.16-3
qt5-svg 5.15.16+kde+r5-3
qt5-tools 5.15.16+kde+r3-6
qt5-translations 5.15.16-3
qt5-webchannel 5.15.16+kde+r3-3
qt5-webengine 5.15.18-5
